Designator,Footprint,Quantity,Value,LCSC Part #
C1,1206,1,100n,
C2,1206,1,100n,
C3,1206,1,100n,
C4,0603,1,100n,
"C5, C6",C_Disc_D3.0mm_W1.6mm_P2.50mm,2,100n,
C7,1206,1,100n,
D1,0805,1,LED,
J1,TE_1-2199230-6 M2 2280,1,Bus_M.2_Socket_M,
J2,BUS_PCIexpress_x1 hor_1,1,Bus_PCI_Express_x1,
J3,BUS_PCIexpress_x1,1,Bus_PCI_Express_x1,
J4,BUS_PCIexpress_x1 SOLDER,1,Bus_PCI_Express_x1,
J5,proto112 127,1,PROTO6x17,
R1,0603,1,1k,
R2,0603,1,10k,
R3,0603,1,0,
X1,Oscillator_SMD_EuroQuartz_XO32-4Pin_3.2x2.5mm,1,32.768kHz,
